Date,Time,CO2,CO,NO,Temp,Humi
23-12-2023,23:56,563,0,0,29.8,59.8
23-12-2023,23:51,556,0,0,29.8,59.7
23-12-2023,23:56,553,0,0,29.8,59.7
23-12-2023,23:51,558,0,0,29.8,59.7
23-12-2023,23:45,561,0,0,29.9,59.7
23-12-2023,23:40,555,0,0,29.9,59.7
23-12-2023,23:35,556,0,0,29.9,59.7
23-12-2023,23:30,557,0,0,30,59.7
23-12-2023,23:25,556,0,0,30,59.6
23-12-2023,23:20,554,0,0,30.1,59.5
23-12-2023,23:15,552,0,0,30.2,59.4
23-12-2023,23:10,553,0,0,30.2,59.4
23-12-2023,23:05,567,0,0,30.2,59.3
23-12-2023,23:00,566,0,0,30.2,59.2
23-12-2023,22:55,569,0,0,30.2,59.3
23-12-2023,22:50,568,0,0,30.2,59.3
23-12-2023,22:45,573,0,0,30.2,59.4
23-12-2023,22:40,574,0,0,30.2,59.4
23-12-2023,22:35,576,0,0,30.2,59.3
23-12-2023,22:30,578,0,0,29.6,60.4
23-12-2023,22:25,583,0,0,29.6,60.5
23-12-2023,22:20,582,0,0,29.6,60.7
23-12-2023,22:15,578,0,0,29.6,60.7
23-12-2023,22:10,581,0,0,29.6,60.7
23-12-2023,22:05,583,0,0,29.6,60.6
23-12-2023,22:00,567,0,0,29.6,60.6
23-12-2023,21:55,571,0,0,29.6,60.7
23-12-2023,21:50,575,0,0,29.6,59.8
23-12-2023,21:45,572,0,0,29.6,59.8
23-12-2023,21:40,566,0,0,29,59.8
23-12-2023,21:35,570,0,0,29,59.8
23-12-2023,21:30,572,0,0,29,59.8
23-12-2023,21:25,576,0,0,29.3,59.7
23-12-2023,21:20,571,0,0,29.7,59.7
23-12-2023,21:15,566,0,0,30.1,59.7
23-12-2023,21:10,576,0,0,30.7,59.7
23-12-2023,21:05,566,0,0,30.7,59.7
23-12-2023,21:00,563,0,0,30.6,59.7
23-12-2023,20:55,561,0,0,30.6,59.7
23-12-2023,20:50,560,0,0,30.6,59.7
23-12-2023,20:45,558,0,0,30.6,59.7
23-12-2023,20:40,556,0,0,30.6,59.7
23-12-2023,20:35,561,0,0,30.5,59.5
23-12-2023,20:30,566,0,0,30.6,59.5
23-12-2023,20:25,568,0,0,30.5,59.5
23-12-2023,20:20,579,0,0,30.5,59.4
23-12-2023,20:15,584,0,0,30.5,59.4
23-12-2023,20:10,583,0,0,30.4,59.4
23-12-2023,20:05,588,0,0,30.5,59.4
23-12-2023,20:00,593,0,0,30.4,59.4
23-12-2023,19:55,604,0,0,30.1,58.3
23-12-2023,19:50,603,0,0,29.9,58.2
23-12-2023,19:45,593,0,0,29.9,58.4
23-12-2023,19:40,597,0,0,30.2,58.3
23-12-2023,19:35,594,0,0,29.9,58.2
23-12-2023,19:30,591,0,0,29.9,58.1
23-12-2023,19:26,588,0,0,29.9,58.4
23-12-2023,19:20,584,0,0,29.4,58.3
23-12-2023,19:15,588,0,0,29.4,58.2
23-12-2023,19:10,583,0,0,29.4,58.4
23-12-2023,19:05,588,0,0,29.4,58.3
23-12-2023,19:00,593,0,0,29.4,58.2
23-12-2023,18:55,598,0,0,29.4,58.1
23-12-2023,18:50,603,0,0,29.4,58
23-12-2023,18:45,606,0,0,29.4,58.4
