DateTime,CO2
12/31/2023 0:00,544
12/31/2023 0:05,546
12/31/2023 0:10,549
12/31/2023 0:15,546
12/31/2023 0:20,548
12/31/2023 0:25,550
12/31/2023 0:30,547
12/31/2023 0:35,551
12/31/2023 0:40,553
12/31/2023 0:45,552
12/31/2023 0:50,554
12/31/2023 0:55,557
12/31/2023 1:00,560
12/31/2023 1:05,559
12/31/2023 1:10,564
12/31/2023 1:15,562
12/31/2023 1:20,559
12/31/2023 1:25,555
12/31/2023 1:30,549
12/31/2023 1:35,548
12/31/2023 1:40,545
12/31/2023 1:45,546
12/31/2023 1:50,549
12/31/2023 1:55,550
12/31/2023 2:00,554
12/31/2023 2:05,558
12/31/2023 2:10,555
12/31/2023 2:15,549
12/31/2023 2:20,553
12/31/2023 2:25,555
12/31/2023 2:30,559
12/31/2023 2:35,554
12/31/2023 2:40,549
12/31/2023 2:45,552
12/31/2023 2:50,556
12/31/2023 2:55,550
12/31/2023 3:00,553
12/31/2023 3:05,556
12/31/2023 3:10,551
12/31/2023 3:15,548
12/31/2023 3:20,545
12/31/2023 3:25,542
12/31/2023 3:30,540
12/31/2023 3:35,539
12/31/2023 3:40,538
12/31/2023 3:45,535
12/31/2023 3:50,540
12/31/2023 3:55,538
12/31/2023 4:00,542
12/31/2023 4:05,546
12/31/2023 4:10,548
12/31/2023 4:15,552
12/31/2023 4:20,554
12/31/2023 4:25,558
12/31/2023 4:30,552
12/31/2023 4:35,548
12/31/2023 4:40,545
12/31/2023 4:45,542
12/31/2023 4:50,541
12/31/2023 4:55,540
12/31/2023 5:00,538
12/31/2023 5:05,539
12/31/2023 5:10,542
12/31/2023 5:15,544
12/31/2023 5:20,546
12/31/2023 5:25,548
12/31/2023 5:30,550
12/31/2023 5:35,551
12/31/2023 5:40,552
12/31/2023 5:45,554
12/31/2023 5:50,555
12/31/2023 5:55,556
12/31/2023 6:00,559
12/31/2023 6:05,562
12/31/2023 6:10,563
12/31/2023 6:15,562
12/31/2023 6:20,561
12/31/2023 6:25,561
12/31/2023 6:30,560
12/31/2023 6:35,558
12/31/2023 6:40,557
12/31/2023 6:45,556
12/31/2023 6:50,554
12/31/2023 6:55,561
12/31/2023 7:00,556
12/31/2023 7:05,563
12/31/2023 7:10,561
12/31/2023 7:15,557
12/31/2023 7:20,556
12/31/2023 7:25,563
12/31/2023 7:30,571
12/31/2023 7:35,576
12/31/2023 7:40,582
12/31/2023 7:45,583
12/31/2023 7:50,585
12/31/2023 7:55,588
12/31/2023 8:00,590
12/31/2023 8:05,592
12/31/2023 8:10,595
12/31/2023 8:15,601
12/31/2023 8:19,607
12/31/2023 8:24,608
12/31/2023 8:29,610
12/31/2023 8:34,608
12/31/2023 8:39,604
12/31/2023 8:44,602
12/31/2023 8:49,601
12/31/2023 8:54,590
12/31/2023 8:59,588
12/31/2023 9:04,587
12/31/2023 9:09,585
12/31/2023 9:14,584
12/31/2023 9:19,580
12/31/2023 9:24,576
12/31/2023 9:29,572
12/31/2023 9:34,570
12/31/2023 9:39,566
12/31/2023 9:44,559
12/31/2023 9:49,556
12/31/2023 9:54,561
12/31/2023 9:59,565
12/31/2023 10:04,569
12/31/2023 10:09,554
12/31/2023 10:14,564
12/31/2023 10:19,560
12/31/2023 10:24,559
12/31/2023 10:29,564
12/31/2023 10:34,569
12/31/2023 10:39,572
12/31/2023 10:44,575
12/31/2023 10:49,576
12/31/2023 10:54,574
12/31/2023 10:59,570
12/31/2023 11:04,569
12/31/2023 11:09,564
12/31/2023 11:14,585
12/31/2023 11:19,575
12/31/2023 11:24,577
12/31/2023 11:29,578
12/31/2023 11:34,581
12/31/2023 11:39,580
12/31/2023 11:44,571
12/31/2023 11:49,575
12/31/2023 11:54,581
12/31/2023 11:59,586
12/31/2023 12:04,589
12/31/2023 12:09,592
12/31/2023 12:14,593
12/31/2023 12:19,589
12/31/2023 12:24,587
12/31/2023 12:29,580
12/31/2023 12:34,578
12/31/2023 12:39,575
12/31/2023 12:44,576
12/31/2023 12:49,574
12/31/2023 12:54,570
12/31/2023 12:59,575
12/31/2023 13:04,577
12/31/2023 13:09,578
12/31/2023 13:14,580
12/31/2023 13:19,582
12/31/2023 13:24,583
12/31/2023 13:29,585
12/31/2023 13:34,587
12/31/2023 13:39,590
12/31/2023 13:44,594
12/31/2023 13:49,595
12/31/2023 13:54,598
12/31/2023 13:59,596
12/31/2023 14:04,601
12/31/2023 14:09,591
12/31/2023 14:14,595
12/31/2023 14:19,590
12/31/2023 14:24,585
12/31/2023 14:29,581
12/31/2023 14:34,578
12/31/2023 14:39,574
12/31/2023 14:44,570
12/31/2023 14:49,567
12/31/2023 14:54,564
12/31/2023 14:59,562
12/31/2023 15:04,560
12/31/2023 15:09,563
12/31/2023 15:14,564
12/31/2023 15:19,565
12/31/2023 15:24,568
12/31/2023 15:29,567
12/31/2023 15:34,565
